eta1,eta2,p,K,r,w,Gini,avg_a_l,avg_a_p,avg_inc_l,avg_inc_p
0,0,0,8.60031490706469,0.0399677636821154,1.31576670843846,0.393802903671986,0,0,0,0
0,0.0111111111111111,0.265599236512145,8.69361699596628,0.0399865541749081,1.31562761205329,0.393569960228873,8.01531800768381,0.584996899380883,0.367712135500815,0.367712135500815
0,0.0222222222222222,0.265599236512145,8.78690205102685,0.0400049235174432,1.3154916727034,0.393333791104381,8.01531800768381,0.584996899380883,0.367712135500815,0.367712135500815
0,0.0333333333333333,0.265599236512145,8.88112790419588,0.0400220479621393,1.31536498115303,0.393117065150493,8.01531800768381,0.584996899380883,0.367712135500815,0.367712135500815
0,0.0444444444444444,0.265599236512145,8.97362183236299,0.0400395029635248,1.3152358789237,0.392875790135857,8.01531800768381,0.584996899380883,0.367712135500815,0.367712135500815
0,0.0555555555555556,0.265475154751693,9.06730258914522,0.0400557968568874,1.31511539634315,0.392652513330176,8.01587667390038,0.584438233164313,0.367670719895459,0.367670719895459
0,0.0666666666666667,0.265475154751693,9.12346160499886,0.0400657936000026,1.31504149220302,0.392507277751192,8.01587667390038,0.584438233164313,0.367670719895459,0.367670719895459
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
